Tarih,AKBNK,ALBRK,GARAN,HALKB,ISCTR,QNBTR,SKBNK,TSKB,VAKBN,YKBNK,AGHOL,ALARK,BRYAT,DOHOL,ECZYT,IEYHO,KCHOL,KLRHO,SAHOL,TAVHL,ARDYZ,ASELS,EDATA,HTTBT,INDES,KAREL,LOGO,MANAS,MIATK,PAPIL,BEYAZ,CLEBI,GRSEL,GSDDE,DOAS,PGSUS,RYSAS,THYAO,TLMAN,TUREX,AEFES,BANVT,CCOLA,KENT,KNFRT,PNSUT,TATGD,TBORG,TUKAS,ULKER,BIGTK,BIMAS,MAALT,MAVI,MGROS,MPARK,PENTA,TCELL,TTKOM,YATAS,ARCLK,EREGL,FROTO,TRALT,KRDMD,OTKAR,SISE,TOASO,TUPRS,AKSA,AYGAZ,BRSAN,EUREN,GUBRF,HEKTS,ISKPL,IZFAS,PETKM,SASA,ALGYO,EKGYO,ENKAI,ISGYO,KUYAS,ORGE,PEKGY,TRGYO,TURGG,ZRGYO,AKENR,AKSEN,AYDEM,BIOEN,ENJSA,GESAN,GWIND,KONTR,ODAS,ZOREN,XU100,XU030,ALTIN,USDTRY
2025-07-01,65.98515319824219,7.92420482635498,131.5826110839844,24.60000038146973,13.13876724243164,166.2818145751953,7.210000038146973,12.2022819519043,26.65999984741211,32.0,26.70000076293945,84.94999694824219,1704.130737304688,15.45055103302002,174.0339965820312,13.85999965667725,151.4377746582031,69.19999694824219,89.01983642578125,266.0,29.12437438964844,148.2111511230469,4.269999980926514,40.7400016784668,6.590000152587891,8.84000015258789,158.1000061035156,5.03000020980835,30.29999923706055,31.60000038146973,20.73999977111816,1732,298.4060363769531,9.34000015258789,166.7711944580078,257.75,16.30999946594238,287.5373229980469,78.8499984741211,15.10000038146973,15.35999965667725,187.3000030517578,50.29999923706055,705.0,12.60999965667725,9.260000228881836,11.27999973297119,167.2204284667969,2.799999952316284,107.1999969482422,331.25,487.8765563964844,775.0,38.49546813964844,495.8772888183594,348.5,13.27000045776367,96.68457794189453,61.20000076293945,27.5,128.3999938964844,26.45000076293945,81.7889404296875,24.4,24.45999908447266,407.0,36.0,190.7557525634766,130.8919067382812,8.823919296264648,127.1716690063477,325.0,5.440000057220459,238.5,3.369999885559082,4.071001052856445,46.68583297729492,17.63999938964844,3.170000076293945,2.792856931686401,17.85000038146973,65.37711334228516,17.76593971252441,61.70000076293945,72.6500015258789,1.507133960723877,70.4000015258789,27.54166603088379,23.75681495666504,11.3100004196167,33.59999847412109,17.63999938964844,21.70000076293945,57.55377197265625,41.31999969482422,22.56688117980957,22.34331512451172,5.110000133514404,3.089999914169312,10080.3466796875,11282.599609375,4277.214,39.8392
2025-07-02,67.00254821777344,8.021315574645996,133.5049285888672,25.28000068664551,13.34975433349609,174.1999969482422,7.389999866485596,12.51711750030518,27.39999961853027,32.29999923706055,27.22500038146973,85.4000015258789,1738.3427734375,15.6276912689209,172.5574645996094,13.5,156.1611633300781,68.94999694824219,90.69296264648438,268.0,28.58503532409668,145.4147338867188,4.150000095367432,40.09999847412109,6.599999904632568,8.619999885559082,158.8999938964844,4.989999771118164,31.05999946594238,30.39999961853027,20.39999961853027,1813,294.1679992675781,9.25,173.2567443847656,256.25,17.17000007629395,288.0321960449219,78.55000305175781,13.59000015258789,15.31999969482422,206.0,51.70000076293945,702.0,12.59000015258789,9.229999542236328,11.23999977111816,167.9831237792969,2.75,109.5,331.0,503.614501953125,803.0,38.88042449951172,506.3011169433594,350.75,13.09000015258789,96.29195404052734,62.40000152587891,27.29999923706055,126.0999984741211,27.42000007629395,85.1911392211914,24.48,25.86000061035156,409.0,36.27999877929688,193.1881561279297,133.6630706787109,8.890335083007812,129.5531616210938,332.5,5.429999828338623,239.0,3.289999961853027,4.110744953155518,42.02228927612305,17.45999908447266,3.160000085830688,2.782856941223145,18.05999946594238,63.75223922729492,18.33357429504395,66.19999694824219,71.9000015258789,1.475898027420044,70.8499984741211,26.94444465637207,23.71692276000977,11.15999984741211,33.45999908447266,17.81999969482422,22.0,58.99261474609375,41.08000183105469,23.4026927947998,21.86367034912109,5.090000152587891,3.119999885559082,10188.9462890625,11412.0,4297.465,39.7749
2025-07-03,66.66341400146484,8.060159683227539,130.3331146240234,26.92000007629395,13.30180263519287,172.3727264404297,7.199999809265137,12.40263175964355,27.47999954223633,31.8799991607666,27.60000038146973,86.0,1735.56884765625,15.82451343536377,179.3495025634766,13.93000030517578,155.8719787597656,68.1500015258789,90.69296264648438,262.0,28.74484062194824,149.609375,4.25,40.58000183105469,6.610000133514404,8.84000015258789,159.1999969482422,5.03000020980835,30.92000007629395,29.5,20.39999961853027,1789,295.4144897460938,9.619999885559082,172.9787902832031,255.75,17.02000045776367,288.527099609375,78.80000305175781,12.23999977111816,16.07999992370605,214.1000061035156,52.79999923706055,690.0,12.30000019073486,9.359999656677246,11.28999996185303,167.3157653808594,2.710000038146973,111.0,331.0,499.1882019042969,803.5,39.61183547973633,500.3446350097656,356.0,13.30000019073486,96.19379425048828,60.29999923706055,27.57999992370605,128.0,27.29999923706055,84.41997528076172,25.02,25.81999969482422,418.0,37.0,199.2691345214844,135.2334136962891,8.947264671325684,128.6005706787109,334.0,5.420000076293945,242.0,3.349999904632568,4.258368968963623,41.92145919799805,17.54999923706055,3.200000047683716,2.818571090698242,17.8799991607666,64.7558364868164,17.72610473632812,70.75,73.44999694824219,1.546179056167603,69.30000305175781,27.38888740539551,23.77676200866699,12.27000045776367,33.88000106811523,18.32999992370605,21.95999908447266,59.90388488769531,45.18000030517578,24.14131546020508,22.0835075378418,5.190000057220459,3.150000095367432,10228.345703125,11423.900390625,4265.292,39.8228
2025-07-04,67.53546142578125,7.972760200500488,132.0631866455078,26.76000022888184,13.5319709777832,167.8045501708984,6.929999828338623,12.56482028961182,27.63999938964844,32.08000183105469,27.67499923706055,87.3499984741211,1763.308349609375,15.87371826171875,192.9336090087891,14.27000045776367,155.8719787597656,70.44999694824219,91.48030853271484,263.25,28.58503532409668,151.0075988769531,4.230000019073486,40.04000091552734,6.880000114440918,8.75,156.0,5.53000020980835,31.55999946594238,29.47999954223633,20.65999984741211,1777,283.1990356445312,9.880000114440918,173.0714416503906,259.5,17.04000091552734,289.7643737792969,79.4000015258789,11.02000045776367,16.07999992370605,209.8999938964844,52.65000152587891,704.0,13.36999988555908,9.350000381469727,11.47000026702881,172.4639434814453,2.839999914169312,113.5,337.0,498.6963806152344,806.0,40.03528213500977,498.8555297851562,354.5,13.25,97.12628173828125,61.20000076293945,28.5,128.1000061035156,27.47999954223633,84.82823944091797,24.76,26.18000030517578,423.5,37.06000137329102,198.8949279785156,135.9723968505859,8.975728034973145,136.6023712158203,336.25,5.5,242.1000061035156,3.289999961853027,4.14197301864624,37.76208114624023,17.53000068664551,3.180000066757202,2.825714111328125,17.77000045776367,64.70804595947266,17.62652206420898,70.0,73.75,1.475898027420044,69.4000015258789,28.83333206176758,23.93633842468262,11.96000003814697,34.08000183105469,17.90999984741211,22.63999938964844,59.95184707641602,43.41999816894531,23.75256729125977,22.06352233886719,5.199999809265137,3.140000104904175,10275.7451171875,11492.2001953125,4275.44,39.8474
2025-07-07,65.83980560302734,7.875649452209473,131.1020355224609,26.20000076293945,13.25385093688965,162.6272735595703,6.849999904632568,12.30722713470459,27.31999969482422,31.92000007629395,26.64999961853027,84.80000305175781,1717.075805664062,15.39150524139404,179.9401245117188,14.5,151.0521850585938,68.0,89.70877075195312,263.75,27.74606132507324,151.1074676513672,4.150000095367432,40.04000091552734,6.78000020980835,8.390000343322754,153.8000030517578,5.21999979019165,31.60000038146973,28.15999984741211,20.71999931335449,1684,278.9610290527344,9.880000114440918,169.0874633789062,257.5,17.09000015258789,284.5679016113281,76.8499984741211,9.920000076293945,15.52000045776367,215.1999969482422,51.40000152587891,682.0,13.13000011444092,9.140000343322754,11.17000007629395,168.0784606933594,2.779999971389771,108.6999969482422,350.0,491.3192443847656,818.0,39.4963493347168,495.6290893554688,347.75,12.9399995803833,95.21222686767578,59.45000076293945,27.79999923706055,123.0999984741211,27.02000045776367,83.92098236083984,24.04,25.71999931335449,413.0,35.72000122070312,194.310791015625,135.0486602783203,8.890335083007812,130.3152465820312,329.5,5.519999980926514,234.5,3.190000057220459,4.102229118347168,38.26625061035156,17.29000091552734,3.079999923706055,2.75,17.71999931335449,63.08317947387695,17.11863899230957,65.1500015258789,70.55000305175781,1.452471017837524,68.94999694824219,27.83333206176758,23.8166561126709,11.60000038146973,33.08000183105469,17.5,22.65999984741211,58.56096267700195,42.06000137329102,23.90806770324707,21.28410339355469,5.03000020980835,3.049999952316284,10107.646484375,11308.0,4292.723,39.9617
2025-07-08,65.59757232666016,8.011604309082031,131.9670867919922,25.8799991607666,13.45524787902832,166.2818145751953,6.760000228881836,12.29768753051758,27.29999923706055,32.34000015258789,26.85000038146973,84.44999694824219,1687.487060546875,15.18484115600586,175.7073974609375,14.30000019073486,149.3170623779297,68.5,88.28169250488281,264.0,28.34532737731934,152.0063171386719,4.130000114440918,40.15999984741211,6.75,8.300000190734863,158.6999969482422,5.260000228881836,31.15999984741211,30.6200008392334,20.52000045776367,1586,269.4878234863281,9.930000305175781,164.9181823730469,252.75,17.0,277.6392822265625,76.69999694824219,9.8100004196167,15.1899995803833,210.1999969482422,49.65999984741211,675.0,13.25,9.119999885559082,11.0,163.9789886474609,2.720000028610229,106.9000015258789,363.25,480.007568359375,823.0,40.51647567749023,474.533203125,349.0,13.17000007629395,92.26751708984375,58.0,26.8799991607666,122.5999984741211,26.81999969482422,84.238525390625,24.04,24.63999938964844,410.0,34.81999969482422,195.3398895263672,129.7834320068359,8.653133392333984,130.9820556640625,325.0,5.53000020980835,235.0,3.109999895095825,4.019899845123291,40.63583374023438,16.94000053405762,3.0,2.755713939666748,17.93000030517578,61.69726181030273,17.04892921447754,62.15000152587891,69.80000305175781,1.389999032020569,68.5,29.44444465637207,23.59724044799805,11.69999980926514,32.88000106811523,17.31999969482422,22.29999923706055,58.03338623046875,41.08000183105469,23.13056755065918,21.05999946594238,4.949999809265137,3.009999990463257,9998.1474609375,11171.599609375,4253.603,40.045
2025-07-09,67.14788818359375,8.234957695007324,134.1777496337891,26.02000045776367,13.77172946929932,171.1545562744141,6.989999771118164,12.80333232879639,27.54000091552734,33.70000076293945,26.89999961853027,86.5999984741211,1705.980102539062,15.42102813720703,176.4948883056641,14.22000026702881,154.5224304199219,69.5,91.1358413696289,269.0,28.76481437683105,149.5095062255859,4.199999809265137,40.2400016784668,7.059999942779541,8.329999923706055,159.1000061035156,5.440000057220459,31.55999946594238,30.1200008392334,20.79999923706055,1614,264.751220703125,9.739999771118164,166.2152862548828,256.25,16.75,283.8255615234375,77.30000305175781,10.78999996185303,15.61999988555908,210.1999969482422,50.04999923706055,686.0,13.80000019073486,9.260000228881836,11.0600004196167,163.2162933349609,2.730000019073486,109.8000030517578,364.5,484.9256896972656,905.0,41.32488250732422,476.5187072753906,365.0,13.19999980926514,93.4944839477539,58.54999923706055,27.07999992370605,125.0,26.89999961853027,86.0076675415039,23.64,25.10000038146973,412.75,35.29999923706055,198.3336029052734,134.8639221191406,8.72903823852539,134.4114074707031,328.75,5.579999923706055,234.8999938964844,3.170000076293945,4.247013092041016,40.83749771118164,17.20000076293945,3.079999923706055,2.771428108215332,18.18000030517578,61.2193603515625,17.23814010620117,63.75,69.94999694824219,1.519999980926514,69.0,29.88888740539551,23.49750518798828,11.85999965667725,34.63999938964844,17.77000045776367,21.92000007629395,58.65688705444336,45.18000030517578,23.59706878662109,21.52000045776367,5.079999923706055,3.069999933242798,10167.24609375,11362.599609375,4271.878,40.0349
2025-07-10,68.16527557373047,8.33206844329834,136.3883972167969,26.73999977111816,14.33755970001221,172.3727264404297,7.179999828338623,12.93690013885498,27.81999969482422,34.2599983215332,27.29999923706055,89.5,1744.815307617188,15.68673801422119,177.8729705810547,14.23999977111816,157.5106964111328,66.80000305175781,90.54533386230469,272.5,29.14435005187988,152.3059387207031,4.199999809265137,41.0,6.960000038146973,8.34000015258789,155.0,5.449999809265137,31.68000030517578,29.0,21.45999908447266,1633,266.2469787597656,9.569999694824219,169.7360076904297,262.75,16.98999977111816,288.0321960449219,77.75,11.25,15.81999969482422,210.1999969482422,51.04999923706055,710.0,13.92000007629395,9.3100004196167,11.3100004196167,165.8857269287109,2.720000028610229,111.0999984741211,367.25,490.8274230957031,936.0,43.01868438720703,486.197998046875,365.5,13.39000034332275,91.9730453491211,58.54999923706055,27.95999908447266,127.5999984741211,27.26000022888184,87.41390991210938,24.22,26.13999938964844,434.75,36.02000045776367,199.1755828857422,138.7435607910156,8.890335083007812,135.5545196533203,335.0,5.659999847412109,242.8999938964844,3.460000038146973,4.167523860931396,42.67770767211914,17.56999969482422,3.240000009536743,2.801428079605103,19.0,62.03179550170898,17.59664535522461,65.19999694824219,69.55000305175781,1.669999957084656,69.1500015258789,29.41666603088379,23.6171875,11.80000019073486,34.65999984741211,18.04000091552734,21.86000061035156,59.85592269897461,47.5,24.31625366210938,21.71999931335449,5.230000019073486,3.130000114440918,10331.2451171875,11549.900390625,4291.381,40.0789
2025-07-11,67.58390808105469,8.390335083007812,136.6767578125,27.44000053405762,14.37592029571533,177.3977355957031,6.980000019073486,12.92735958099365,28.07999992370605,34.22000122070312,27.35000038146973,89.94999694824219,1738.3427734375,15.82451343536377,177.4792327880859,14.22000026702881,159.6314086914062,68.5999984741211,89.46272277832031,275.5,28.56505966186523,153.8040313720703,4.21999979019165,41.29999923706055,6.960000038146973,8.350000381469727,158.1000061035156,5.340000152587891,31.26000022888184,28.02000045776367,22.0,1700,265.2498168945312,9.229999542236328,169.6433715820312,262.25,16.6299991607666,290.0118103027344,78.94999694824219,10.76000022888184,15.6899995803833,209.1999969482422,50.65000152587891,703.5,13.68000030517578,9.369999885559082,11.31999969482422,165.4090423583984,2.789999961853027,110.9000015258789,362.75,487.6306457519531,932.0,42.34501266479492,485.9497985839844,361.75,13.52999973297119,90.69700622558594,57.0,27.57999992370605,126.0999984741211,27.15999984741211,86.46129608154297,24.52,25.6200008392334,450.0,36.09999847412109,199.7369079589844,144.2859191894531,8.871359825134277,137.5549621582031,334.0,5.829999923706055,239.6000061035156,3.390000104904175,4.255529880523682,43.10625076293945,17.73999977111816,3.230000019073486,2.814285039901733,19.14999961853027,62.17516708374023,18.04477882385254,67.69999694824219,69.19999694824219,1.830000042915344,70.19999694824219,29.52777671813965,22.67967987060547,11.69999980926514,35.0,17.8700008392334,21.6200008392334,61.63049697875977,46.47999954223633,23.90806770324707,21.76000022888184,5.159999847412109,3.140000104904175,10358.4453125,11565.5,4336.214,40.1815
2025-07-14,64.82241821289062,8.35149097442627,132.1593170166016,26.20000076293945,13.96353626251221,179.8340911865234,7.010000228881836,12.51711750030518,27.34000015258789,32.81999969482422,26.60000038146973,86.0,1710.603271484375,15.46039199829102,175.4120788574219,14.17000007629395,158.5710601806641,70.75,87.2975082397461,268.75,28.92461776733398,155.3021240234375,4.230000019073486,40.61999893188477,7.090000152587891,8.239999771118164,161.8000030517578,5.309999942779541,31.28000068664551,28.92000007629395,22.70000076293945,1702,266.2469787597656,9.390000343322754,171.7743225097656,264.0,16.29000091552734,288.0321960449219,78.80000305175781,10.39000034332275,15.19999980926514,213.1999969482422,49.0,689.5,14.25,9.329999923706055,11.44999980926514,167.3157653808594,2.839999914169312,108.5999984741211,369.0,490.8274230957031,916.0,41.86381912231445,482.4751892089844,355.0,13.51000022888184,90.5988540649414,55.59999847412109,27.57999992370605,122.6999969482422,26.89999961853027,87.14173889160156,23.82,24.8799991607666,450.0,35.70000076293945,197.3980712890625,143.6393127441406,8.738526344299316,135.8403015136719,333.5,5.769999980926514,240.0,3.460000038146973,4.283918857574463,43.76166534423828,17.3700008392334,3.190000057220459,2.828571081161499,18.5,61.36272811889648,17.96511077880859,65.0,68.0,2.009999990463257,68.5,30.16666603088379,23.15840721130371,11.64000034332275,34.5,17.81999969482422,21.5,60.57534790039062,46.5,23.71369171142578,21.28000068664551,5.070000171661377,3.160000085830688,10225.4453125,11413.7998046875,4326.701,40.1735
