Tarih,AKBNK,ALBRK,GARAN,HALKB,ISCTR,QNBTR,SKBNK,TSKB,VAKBN,YKBNK,AGHOL,ALARK,BRYAT,DOHOL,ECZYT,IEYHO,KCHOL,KLRHO,SAHOL,TAVHL,ARDYZ,ASELS,EDATA,HTTBT,INDES,KAREL,LOGO,MANAS,MIATK,PAPIL,BEYAZ,CLEBI,GRSEL,GSDDE,PGSUS,RYSAS,THYAO,TLMAN,TUREX,AEFES,BANVT,CCOLA,KENT,KNFRT,PNSUT,TATGD,TBORG,TUKAS,ULKER,BIGTK,BIMAS,MAALT,MAVI,MGROS,MPARK,PENTA,TCELL,TTKOM,YATAS,ARCLK,EREGL,FROTO,TRALT,KRDMD,OTKAR,SISE,TOASO,TTRAK,TUPRS,AKSA,AYGAZ,BRSAN,EUREN,GUBRF,HEKTS,ISKPL,IZFAS,PETKM,SASA,ALGYO,EKGYO,ENKAI,ISGYO,KUYAS,ORGE,PEKGY,TRGYO,TURGG,ZRGYO,AKENR,AKSEN,AYDEM,BIOEN,ENJSA,GESAN,GWIND,KONTR,ODAS,ZOREN,XU100,XU030,DOAS
2023-01-02,16.49723815917969,3.202229738235474,25.21794891357422,13.8100004196167,4.469285011291504,31.76409149169922,3.043429374694824,4.360002517700195,12.19999980926514,10.52565383911133,10.77504920959473,77.79216003417969,1125.299560546875,11.09495830535889,169.7445831298828,2.200000047683716,73.2931137084961,10.60000038146973,40.21946334838867,95.94999694824219,10.95300674438477,32.14542007446289,2.920406103134155,11.61100006103516,5.966097354888916,13.02881240844727,63.75106430053711,12.90669822692871,9.230769157409668,3.779618978500366,19.75861358642578,631.0442504882812,17.67962265014648,9.279999732971191,103.0976486206055,3.083877086639404,143.4066009521484,65.19999694824219,3.299999952316284,6.5467209815979,96.19999694824219,205.3362274169922,223.1000061035156,8.199999809265137,10.1695499420166,35.41999816894531,35.46753692626953,7.433332920074463,42.70193099975586,64.85,130.4022521972656,394.0,15.40046405792236,140.6620330810547,87.5,52.90000152587891,36.68018341064453,26.42000007629395,33.4603385925293,114.716178894043,20.93330764770508,43.15327072143555,29.16,18.33525276184082,209.4509582519531,42.513427734375,134.7153167724609,275.7741088867188,49.23950576782227,6.34523344039917,79.08734130859375,84.1500015258789,12.18000030517578,275.6000061035156,37.70000076293945,1.153618931770325,1.391499042510986,20.44000053405762,5.785307884216309,2.573732852935791,8.94600772857666,29.38738632202148,11.08379554748535,6.605000019073486,27.0,0.9833149909973145,17.991455078125,18.43888854980469,6.052737712860107,5.5,44.31752777099609,26.78144454956055,18.68000030517578,30.69991111755371,61.04999923706055,20.9002799987793,47.65933227539062,11.5600004196167,4.34738302230835,5661.06982421875,6111.5,118.6039581298828
2023-01-03,16.1346607208252,3.117214679718018,24.5590877532959,13.47000026702881,4.335822105407715,30.45454597473145,2.976011753082275,4.264597415924072,11.98999977111816,10.30600357055664,10.5051908493042,75.38182830810547,1095.80322265625,10.81829833984375,161.7060089111328,2.119999885559082,72.29563903808594,10.35999965667725,39.69256973266602,95.8499984741211,10.55399036407471,34.3846549987793,2.953974008560181,10.99050045013428,5.949692249298096,12.46506500244141,63.48207473754883,12.6196174621582,8.923075675964355,3.633353710174561,21.72862434387207,608.0740356445312,17.19320869445801,8.9399995803833,100.8061294555664,2.938241958618164,143.9927368164062,62.34999847412109,3.063999891281128,6.565779685974121,93.44999694824219,203.2838439941406,219.8999938964844,8.350000381469727,10.48734855651855,34.0,35.04376983642578,7.119999885559082,43.66443634033203,62.35,131.0575103759766,412.5,14.7776517868042,138.5851593017578,87.6500015258789,51.25,38.36326599121094,26.36000061035156,32.24042892456055,116.8787841796875,20.6690731048584,42.10543823242188,29.77,18.62235832214355,212.5084991455078,43.88420867919922,132.9932098388672,265.2603759765625,48.29117584228516,6.095857620239258,79.25357818603516,84.5,11.75,285.7999877929688,36.88000106811523,1.118231296539307,1.396540999412537,20.47999954223633,5.565272808074951,2.487324237823486,8.870672225952148,30.42948913574219,10.97425270080566,6.190000057220459,26.5,0.9324079751968384,17.19876098632812,17.82222175598145,5.755062103271484,5.170000076293945,44.487548828125,25.69996070861816,17.89999961853027,30.65099906921387,60.40000152587891,20.57873916625977,45.54821395874023,11.07999992370605,4.268670082092285,5626.5703125,6096.5,114.5375366210938
2023-01-04,16.19234466552734,3.079430341720581,24.70733070373535,13.18000030517578,4.287912845611572,29.83327293395996,2.918225288391113,4.178733348846436,11.8100004196167,10.22693061828613,10.74613475799561,75.09825134277344,1049.478271484375,10.9518575668335,157.0324249267578,2.059999942779541,72.1221694946289,10.19999980926514,39.39400100708008,95.1500015258789,10.12504768371582,32.41910171508789,2.703334093093872,10.7185001373291,5.796576023101807,11.84912014007568,62.76475524902344,12.93062210083008,8.384614944458008,3.460495710372925,23.40605735778809,584.8495483398438,16.02184677124023,8.699999809265137,98.88289642333984,2.797717094421387,141.1597747802734,61.0,2.772000074386597,6.594367980957031,91.25,200.9382629394531,214.5,8.229999542236328,10.50721168518066,32.97999954223633,34.91479873657227,6.886665821075439,43.44231796264648,60.4,127.8746948242188,413.5,14.56249904632568,132.2601013183594,92.0,50.70000076293945,37.04607391357422,25.57999992370605,31.56270217895508,121.89208984375,21.00181198120117,40.9216194152832,28.74,19.59258460998535,207.123291015625,42.79900741577148,131.2711181640625,253.7715454101562,47.18632507324219,6.120102882385254,76.92625427246094,79.5999984741211,11.11999988555908,297.0,34.84000015258789,1.085675597190857,1.3436039686203,20.0,5.259369850158691,2.428689479827881,8.870672225952148,29.94317436218262,10.72529029846191,6.005000114440918,27.29999923706055,0.9136530160903931,16.65545463562012,17.61111068725586,5.536766529083252,5.03000020980835,42.03176116943359,24.46117210388184,17.45000076293945,29.28148651123047,57.52500152587891,20.27506065368652,43.37924957275391,10.60000038146973,4.06280517578125,5523.470703125,5988.7998046875,113.7366027832031
2023-01-05,15.71440029144287,2.956630945205688,23.81786727905273,12.38000011444092,4.120229244232178,28.94400024414062,2.764127016067505,3.959301948547363,11.40999984741211,9.787628173828125,10.26424598693848,72.45162963867188,981.60888671875,10.32222175598145,148.6199798583984,1.940000057220459,70.25730895996094,9.407999992370605,38.0767707824707,91.19999694824219,9.736006736755371,30.92628479003906,2.490736961364746,9.953499794006348,5.632521629333496,10.74250602722168,58.28155899047852,12.70334911346436,8.223075866699219,3.322540521621704,25.27854156494141,568.1516723632812,15.60492324829102,7.949999809265137,97.69622039794922,2.572877883911133,138.5221710205078,58.54999923706055,2.961999893188477,6.43236780166626,86.94999694824219,192.7287139892578,200.0,7.889999866485596,9.858372688293457,30.6200008392334,33.16445159912109,6.616665840148926,43.05361557006836,56.6,123.1004486083984,397.6000061035156,13.99630546569824,129.5223693847656,86.25,48.2599983215332,35.82035064697266,24.68000030517578,31.52397727966309,117.2719879150391,20.42441177368164,40.08175277709961,26.08,18.83026504516602,201.3435668945312,41.44725799560547,128.6096801757812,254.6618347167969,45.99860763549805,5.867263317108154,72.68721008300781,77.30000305175781,10.40999984741211,303.7999877929688,32.72000122070312,1.014901280403137,1.283103942871094,19.29999923706055,5.015184879302979,2.282104730606079,8.569334030151367,29.24843406677246,10.2771577835083,5.864999771118164,25.86000061035156,0.8788210153579712,15.64900207519531,17.11111068725586,5.110098838806152,4.769999980926514,39.85933303833008,22.96676063537598,16.26000022888184,27.29243278503418,51.77500152587891,18.8817081451416,40.54513549804688,10.14000034332275,3.856940031051636,5116.37255859375,5559.7001953125,111.5185470581055
2023-01-06,15.40950870513916,3.051091909408569,23.24136161804199,12.19999980926514,4.130495548248291,28.93181800842285,2.754496097564697,3.959301948547363,10.97999954223633,9.444973945617676,10.25460815429688,72.68794250488281,965.6124877929688,10.29360198974609,152.1719055175781,1.960000038146973,68.8695068359375,9.904000282287598,37.9011344909668,91.44999694824219,9.895613670349121,31.29948997497559,2.517591953277588,9.93649959564209,5.76376485824585,10.82602405548096,57.34009170532227,11.74162578582764,8.115384101867676,3.237773180007935,23.15249061584473,565.524169921875,15.14828872680664,8.130000114440918,97.88036346435547,2.731287002563477,139.2060089111328,58.0,2.838000059127808,6.475250244140625,91.5,191.8491363525391,205.0,7.789999961853027,9.798786163330078,30.42000007629395,34.08568572998047,7.026666164398193,43.88655090332031,59.7,121.1345977783203,397.0,14.05292415618896,127.6342849731445,88.5999984741211,48.0,36.03988647460938,25.31999969482422,31.75633811950684,112.9467849731445,20.37547874450684,40.08175277709961,27.64,19.06786918640137,201.2054748535156,41.4853401184082,128.4531402587891,245.0383453369141,46.79962921142578,5.721793651580811,71.10795593261719,75.75,10.94999980926514,295.0,34.84000015258789,1.00782310962677,1.285624027252197,19.32999992370605,5.098369121551514,2.274389505386353,8.68233585357666,29.64791107177734,10.79499912261963,5.900000095367432,25.86000061035156,0.8868589997291565,15.96073627471924,17.33333206176758,5.258935928344727,4.789999961853027,39.42484664916992,24.53982543945312,17.13999938964844,27.47177696228027,52.125,18.9352970123291,43.11897277832031,10.0,3.844830989837646,5341.9716796875,5799.10009765625,107.5753555297852
2023-01-09,14.67611122131348,2.918846368789673,22.00599479675293,11.6899995803833,3.966233968734741,29.7845458984375,2.735234022140503,3.911599397659302,10.60999965667725,8.891453742980957,9.917285919189453,69.19058990478516,968.201416015625,9.711666107177734,147.4048309326172,1.860000014305115,65.92044830322266,10.19200038909912,36.44339752197266,88.0999984741211,9.466670989990234,29.4085807800293,2.477309942245483,9.468999862670898,5.555962562561035,9.959525108337402,54.73983764648438,10.77990436553955,8.923075675964355,3.063252687454224,22.9769458770752,514.32861328125,14.84055709838867,7.739999771118164,95.89574432373047,2.631643056869507,135.2007598876953,55.40000152587891,2.665999889373779,6.108366966247559,87.3499984741211,183.8350524902344,199.0,7.300000190734863,9.308846473693848,28.70000076293945,32.24321746826172,7.166666030883789,42.83149719238281,62.1,122.445182800293,380.1000061035156,13.66791248321533,127.7286911010742,84.9000015258789,47.7400016784668,33.64332580566406,23.39999961853027,30.6138858795166,105.2793731689453,19.48490715026855,38.63397979736328,27.83,18.60256004333496,191.5791778564453,39.86704635620117,123.8347702026367,234.3974304199219,46.10908889770508,5.392756462097168,68.1572494506836,72.5,11.82999992370605,287.1000061035156,34.91999816894531,0.9710214734077454,1.235208034515381,18.39999961853027,5.283521175384521,2.140148162841797,8.220909118652344,29.75212097167969,10.48628616333008,5.965000152587891,24.76000022888184,0.8547070026397705,14.80286979675293,16.62777709960938,4.871957778930664,4.510000228881836,38.55587387084961,24.2055492401123,17.30999946594238,25.66206359863281,49.25,17.84562683105469,42.56949996948242,9.380000114440918,3.657130002975464,5170.97265625,5615.89990234375,103.1392440795898
2023-01-10,14.03336429595947,2.739370822906494,21.23183250427246,11.14999961853027,3.825927019119263,28.40800094604492,2.629291772842407,3.778032541275024,10.02999973297119,8.373078346252441,9.42575740814209,65.4096908569336,919.5648803710938,9.644886016845703,139.3662872314453,1.830000042915344,62.66778945922852,10.39999961853027,35.28423690795898,83.5999984741211,8.997825622558594,28.93585586547852,2.450455904006958,9.366999626159668,5.257932186126709,9.213082313537598,53.66386795043945,11.42583656311035,8.276923179626465,2.930284738540649,20.69485473632812,500.9363708496094,14.10597515106201,7.349999904632568,93.05181121826172,2.540940046310425,128.1672058105469,53.54999923706055,2.528000116348267,5.760542392730713,83.1500015258789,183.4441223144531,199.5,6.90500020980835,8.997668266296387,27.39999961853027,30.86136245727539,6.873332977294922,38.55575180053711,60.0,121.6962738037109,371.5,13.59996891021729,123.4804992675781,80.55000305175781,46.08000183105469,32.78348922729492,22.28000068664551,29.41333961486816,100.2660675048828,18.52583122253418,38.31402587890625,26.42,17.95904159545898,181.4991760253906,38.87703323364258,119.6860580444336,222.2302856445312,43.76129150390625,5.247286796569824,65.16497039794922,69.0,11.1899995803833,269.3999938964844,34.0,0.9483730792999268,1.207479000091553,18.04999923706055,5.420372009277344,2.066083192825317,8.004322052001953,28.22370338439941,10.2771577835083,5.690000057220459,24.84000015258789,0.841310977935791,14.75833606719971,15.76666641235352,4.58420467376709,4.309999942779541,36.74237442016602,23.9892520904541,16.71999931335449,25.48272132873535,49.57500076293945,17.47049140930176,40.77649307250977,8.920000076293945,3.47548508644104,4987.9736328125,5423.10009765625,97.90219116210938
2023-01-11,13.26700973510742,2.63546347618103,19.66703605651855,10.14000034332275,3.586378812789917,28.0181827545166,2.455931901931763,3.453655958175659,9.5,7.54719352722168,8.635458946228027,62.05412673950195,837.640869140625,8.967549324035645,127.4953689575195,1.659999966621399,60.45597457885742,10.52000045776367,33.70356369018555,76.30000305175781,8.349424362182617,26.27365684509277,2.264713048934937,8.61050033569336,4.921620845794678,8.837250709533691,53.30521392822266,10.34449672698975,7.515384197235107,2.675983190536499,18.6273193359375,450.8427734375,12.69637107849121,6.840000152587891,87.56855010986328,2.486007928848267,122.4035873413086,48.38000106811523,2.332000017166138,5.322188854217529,81.3499984741211,176.2118988037109,190.1000061035156,6.230000019073486,8.183310508728027,25.29999923706055,30.86136245727539,6.513332843780518,36.27905654907227,56.55,116.4539642333984,334.3999938964844,12.56949710845947,119.4211349487305,75.5999984741211,43.2400016784668,30.38692855834961,20.42000007629395,27.78679847717285,92.94271850585938,18.02672004699707,36.67428207397461,24.34,17.01852035522461,171.6756134033203,36.38296508789062,109.9796752929688,214.8112945556641,43.54952239990234,4.994446754455566,61.0921630859375,66.0,10.35999965667725,256.1000061035156,32.56000137329102,0.857782244682312,1.111686944961548,16.67000007629395,5.511606216430664,1.954987645149231,7.608814716339111,25.91369819641113,9.669690132141113,5.21999979019165,23.65999984741211,0.8118379712104797,14.90974903106689,14.33333301544189,4.197226524353027,4.019999980926514,35.30667877197266,22.1015739440918,16.06999969482422,24.45558738708496,45.375,16.42547798156738,38.17373657226562,8.739999771118164,3.215126037597656,4728.875,5162.7001953125,92.78836059570312
2023-01-12,13.72022914886475,2.786601305007935,20.19412422180176,10.80000019073486,3.716419458389282,28.26181793212891,2.542612075805664,3.62538480758667,9.779999732971191,7.942563533782959,8.731837272644043,63.6610107421875,860.4796752929688,9.635346412658691,128.6170349121094,1.720000028610229,63.27494812011719,10.96000003814697,34.82759857177734,80.6500015258789,8.568882942199707,27.81623840332031,2.349751949310303,8.899499893188477,5.140359401702881,9.656771659851074,53.88802719116211,10.33492755889893,7.461537837982178,2.78069543838501,18.59806251525879,472.1177368164062,12.85519981384277,7.190000057220459,91.94697570800781,2.530719995498657,132.6608734130859,50.04999923706055,2.562000036239624,5.40795373916626,83.0,184.4214477539062,195.0,6.849999904632568,8.335588455200195,25.84000015258789,30.4007453918457,6.699999809265137,36.51968383789062,57.0,117.9517593383789,347.7000122070312,13.24892902374268,119.704345703125,79.05000305175781,44.5,31.21017265319824,21.21999931335449,29.97488594055176,98.8898696899414,19.36746978759766,38.04207229614258,25.45,18.71146011352539,175.3446502685547,38.05837249755859,116.085319519043,221.9335479736328,47.3336296081543,5.219577789306641,64.20911407470703,68.05000305175781,10.77000045776367,266.7999877929688,34.7599983215332,0.9214795231819153,1.15958297252655,17.42000007629395,6.059010028839111,1.996648550033569,8.013739585876465,27.98054504394531,10.1078634262085,5.644999980926514,24.20000076293945,0.8520280122756958,15.97854900360107,14.94444370269775,4.395676612854004,4.210000038146973,36.79904174804688,22.0819091796875,16.3700008392334,25.35229301452637,46.27500152587891,16.79167938232422,38.86780548095703,8.779999732971191,3.354387998580933,4970.673828125,5451.89990234375,92.91157531738281
2023-01-13,13.63782691955566,2.692140102386475,19.89763832092285,10.80000019073486,3.695886850357056,28.62727355957031,2.532980918884277,3.62538480758667,9.670000076293945,8.091926574707031,8.77520751953125,66.96930694580078,868.4317016601562,9.454087257385254,136.2817077636719,1.830000042915344,63.10147857666016,10.92000007629395,34.72221755981445,81.19999694824219,8.638710975646973,27.49279403686523,2.354228019714355,9.350000381469727,5.091143608093262,9.301819801330566,56.48828125,11.36999988555908,7.946153163909912,2.800640821456909,18.05192184448242,467.7101440429688,13.05373477935791,7.400000095367432,95.5888442993164,2.542217969894409,131.5863037109375,51.20000076293945,2.732000112533569,5.193541526794434,83.0,178.3620300292969,204.1000061035156,7.534999847412109,8.428279876708984,25.94000053405762,31.67204856872559,6.933332920074463,37.14901351928711,56.75,115.2370071411133,350.3999938964844,13.02245235443115,120.8371963500977,77.3499984741211,42.13999938964844,30.93575859069824,20.76000022888184,30.38152122497559,94.51551818847656,19.74914360046387,37.79411315917969,24.91,18.48375511169434,178.1852111816406,37.86798477172852,113.6587066650391,222.9933624267578,46.97455596923828,5.35465669631958,67.15982055664062,68.94999694824219,10.77999973297119,266.1000061035156,36.41999816894531,0.9342187643051147,1.184790968894958,17.77000045776367,6.413211822509766,2.032137870788574,7.420477867126465,27.25106811523438,10.05807209014893,6.114999771118164,24.8799991607666,0.8466690182685852,16.86030769348145,15.10555458068848,4.306373596191406,4.630000114440918,36.9312744140625,22.39652442932129,17.31999969482422,24.86318016052246,50.125,17.13108825683594,41.93327331542969,9.239999771118164,3.578417062759399,4984.87353515625,5462.39990234375,95.00640869140625
